modality,teaching_role,label,source_file,output_file,selection_criterion,dataset_url,license_note,notes
mri,máscara de referencia,mask_large,mri/lgg-mri-segmentation/kaggle_3m/TCGA_CS_6666_20011109/TCGA_CS_6666_20011109_17_mask.tif,mri/masks/mask_large_mask.png,Máscara GT correspondiente al corte seleccionado.,https://www.kaggle.com/datasets/mateuszbuda/lgg-mri-segmentation,CC BY-NC-SA 4.0 (según la ficha de Kaggle),
mri,overlay pedagógico,mask_large,mri/lgg-mri-segmentation/kaggle_3m/TCGA_CS_6666_20011109/TCGA_CS_6666_20011109_17.tif,mri/overlays/mask_large_overlay.png,Derivado visual: FLAIR + máscara GT semitransparente.,https://www.kaggle.com/datasets/mateuszbuda/lgg-mri-segmentation,CC BY-NC-SA 4.0 (según la ficha de Kaggle),
mri,corte sin anormalidad segmentada visible,without_visible_mask,mri/lgg-mri-segmentation/kaggle_3m/TCGA_DU_5851_19950428/TCGA_DU_5851_19950428_25.tif,mri/images/slice_without_visible_mask.png,Corte con máscara vacía y buena entropía visual. No representa un sujeto sano; solo un corte sin máscara visible.,https://www.kaggle.com/datasets/mateuszbuda/lgg-mri-segmentation,CC BY-NC-SA 4.0 (según la ficha de Kaggle),
ultrasound,comparación de clases BUSI,normal,ultrasound/breast-ultrasound/Dataset_BUSI_with_GT/normal/normal (102).png,ultrasound/normal/images/normal_01.png,Clase normal del dataset; selección por calidad visual no clínica y diversidad determinista.,https://www.kaggle.com/datasets/aryashah2k/breast-ultrasound-images-dataset,CC0 / dominio público (según la ficha de Kaggle),
ultrasound,comparación de clases BUSI,normal,ultrasound/breast-ultrasound/Dataset_BUSI_with_GT/normal/normal (96).png,ultrasound/normal/images/normal_02.png,Clase normal del dataset; selección por calidad visual no clínica y diversidad determinista.,https://www.kaggle.com/datasets/aryashah2k/breast-ultrasound-images-dataset,CC0 / dominio público (según la ficha de Kaggle),
ultrasound,comparación de clases BUSI,benign,ultrasound/breast-ultrasound/Dataset_BUSI_with_GT/benign/benign (357).png,ultrasound/benign/images/benign_01.png,"Clase definida por BUSI; lesión con máscara visible, tamaño no extremo, preferencia por región centrada y buena calidad visual.",https://www.kaggle.com/datasets/aryashah2k/breast-ultrasound-images-dataset,CC0 / dominio público (según la ficha de Kaggle),Fracción de máscara: 0.0381.
ultrasound,máscara de referencia,benign,ultrasound/breast-ultrasound/Dataset_BUSI_with_GT/benign/benign (357)_mask.png,ultrasound/benign/masks/benign_01_mask.png,Unión lógica de las máscaras GT disponibles.,https://www.kaggle.com/datasets/aryashah2k/breast-ultrasound-images-dataset,CC0 / dominio público (según la ficha de Kaggle),
ultrasound,overlay pedagógico,benign,ultrasound/breast-ultrasound/Dataset_BUSI_with_GT/benign/benign (357).png,ultrasound/benign/overlays/benign_01_overlay.png,Derivado visual: ultrasonido + máscara GT.,https://www.kaggle.com/datasets/aryashah2k/breast-ultrasound-images-dataset,CC0 / dominio público (según la ficha de Kaggle),
ultrasound,comparación de clases BUSI,benign,ultrasound/breast-ultrasound/Dataset_BUSI_with_GT/benign/benign (354).png,ultrasound/benign/images/benign_02.png,"Clase definida por BUSI; lesión con máscara visible, tamaño no extremo, preferencia por región centrada y buena calidad visual.",https://www.kaggle.com/datasets/aryashah2k/breast-ultrasound-images-dataset,CC0 / dominio público (según la ficha de Kaggle),Fracción de máscara: 0.0890.
ultrasound,máscara de referencia,benign,ultrasound/breast-ultrasound/Dataset_BUSI_with_GT/benign/benign (354)_mask.png,ultrasound/benign/masks/benign_02_mask.png,Unión lógica de las máscaras GT disponibles.,https://www.kaggle.com/datasets/aryashah2k/breast-ultrasound-images-dataset,CC0 / dominio público (según la ficha de Kaggle),
ultrasound,overlay pedagógico,benign,ultrasound/breast-ultrasound/Dataset_BUSI_with_GT/benign/benign (354).png,ultrasound/benign/overlays/benign_02_overlay.png,Derivado visual: ultrasonido + máscara GT.,https://www.kaggle.com/datasets/aryashah2k/breast-ultrasound-images-dataset,CC0 / dominio público (según la ficha de Kaggle),
ultrasound,comparación de clases BUSI,malignant,ultrasound/breast-ultrasound/Dataset_BUSI_with_GT/malignant/malignant (207).png,ultrasound/malignant/images/malignant_01.png,"Clase definida por BUSI; lesión con máscara visible, tamaño no extremo, preferencia por región centrada y buena calidad visual.",https://www.kaggle.com/datasets/aryashah2k/breast-ultrasound-images-dataset,CC0 / dominio público (según la ficha de Kaggle),Fracción de máscara: 0.1106.
ultrasound,máscara de referencia,malignant,ultrasound/breast-ultrasound/Dataset_BUSI_with_GT/malignant/malignant (207)_mask.png,ultrasound/malignant/masks/malignant_01_mask.png,Unión lógica de las máscaras GT disponibles.,https://www.kaggle.com/datasets/aryashah2k/breast-ultrasound-images-dataset,CC0 / dominio público (según la ficha de Kaggle),
ultrasound,overlay pedagógico,malignant,ultrasound/breast-ultrasound/Dataset_BUSI_with_GT/malignant/malignant (207).png,ultrasound/malignant/overlays/malignant_01_overlay.png,Derivado visual: ultrasonido + máscara GT.,https://www.kaggle.com/datasets/aryashah2k/breast-ultrasound-images-dataset,CC0 / dominio público (según la ficha de Kaggle),
ultrasound,comparación de clases BUSI,malignant,ultrasound/breast-ultrasound/Dataset_BUSI_with_GT/malignant/malignant (123).png,ultrasound/malignant/images/malignant_02.png,"Clase definida por BUSI; lesión con máscara visible, tamaño no extremo, preferencia por región centrada y buena calidad visual.",https://www.kaggle.com/datasets/aryashah2k/breast-ultrasound-images-dataset,CC0 / dominio público (según la ficha de Kaggle),Fracción de máscara: 0.1940.
ultrasound,máscara de referencia,malignant,ultrasound/breast-ultrasound/Dataset_BUSI_with_GT/malignant/malignant (123)_mask.png,ultrasound/malignant/masks/malignant_02_mask.png,Unión lógica de las máscaras GT disponibles.,https://www.kaggle.com/datasets/aryashah2k/breast-ultrasound-images-dataset,CC0 / dominio público (según la ficha de Kaggle),
ultrasound,overlay pedagógico,malignant,ultrasound/breast-ultrasound/Dataset_BUSI_with_GT/malignant/malignant (123).png,ultrasound/malignant/overlays/malignant_02_overlay.png,Derivado visual: ultrasonido + máscara GT.,https://www.kaggle.com/datasets/aryashah2k/breast-ultrasound-images-dataset,CC0 / dominio público (según la ficha de Kaggle),
ct,progresión anatómica axial,axial_inferior,ct/cranial-ct/Cranial CT/1.3.6.1.4.1.5962.99.1.2786334768.1849416866.1385765836848.234.0.dcm,ct/axial/axial_inferior_brain_window.png,Mejor puntuación no clínica de información visual dentro de 20%-40% de la serie; ventana cerebral W80/L40.,https://www.kaggle.com/datasets/abbymorgan/cranial-ct,CC0 / dominio público (según la ficha de Kaggle),Índice en volumen: 84/225.
ct,progresión anatómica axial,axial_middle,ct/cranial-ct/Cranial CT/1.3.6.1.4.1.5962.99.1.2786334768.1849416866.1385765836848.241.0.dcm,ct/axial/axial_middle_brain_window.png,Mejor puntuación no clínica de información visual dentro de 40%-60% de la serie; ventana cerebral W80/L40.,https://www.kaggle.com/datasets/abbymorgan/cranial-ct,CC0 / dominio público (según la ficha de Kaggle),Índice en volumen: 91/225.
ct,progresión anatómica axial,axial_superior,ct/cranial-ct/Cranial CT/1.3.6.1.4.1.5962.99.1.2786334768.1849416866.1385765836848.285.0.dcm,ct/axial/axial_superior_brain_window.png,Mejor puntuación no clínica de información visual dentro de 60%-80% de la serie; ventana cerebral W80/L40.,https://www.kaggle.com/datasets/abbymorgan/cranial-ct,CC0 / dominio público (según la ficha de Kaggle),Índice en volumen: 135/225.
ct,comparación de window/level,brain_window,ct/cranial-ct/Cranial CT/1.3.6.1.4.1.5962.99.1.2786334768.1849416866.1385765836848.241.0.dcm,ct/windowing/same_slice_brain_W80_L40.png,Mismo corte axial; ventana cerebral estándar W80/L40.,https://www.kaggle.com/datasets/abbymorgan/cranial-ct,CC0 / dominio público (según la ficha de Kaggle),Los valores HU del DICOM no se modifican; cambia solo el mapeo a grises.
ct,comparación de window/level,bone_window,ct/cranial-ct/Cranial CT/1.3.6.1.4.1.5962.99.1.2786334768.1849416866.1385765836848.241.0.dcm,ct/windowing/same_slice_bone_W2800_L600.png,Mismo corte axial; ventana ósea amplia W2800/L600.,https://www.kaggle.com/datasets/abbymorgan/cranial-ct,CC0 / dominio público (según la ficha de Kaggle),Los valores HU del DICOM no se modifican; cambia solo el mapeo a grises.
ct,reconstrucción multiplanar (MPR),coronal,ct,ct/mpr/coronal_central_brain_window.png,Plano central reconstruido a partir de la serie DICOM completa; ventana cerebral W80/L40 y corrección aproximada de aspect ratio según PixelSpacing/espaciado entre cortes.,https://www.kaggle.com/datasets/abbymorgan/cranial-ct,CC0 / dominio público (según la ficha de Kaggle),
ct,reconstrucción multiplanar (MPR),sagittal,ct,ct/mpr/sagittal_central_brain_window.png,Plano central reconstruido a partir de la serie DICOM completa; ventana cerebral W80/L40 y corrección aproximada de aspect ratio según PixelSpacing/espaciado entre cortes.,https://www.kaggle.com/datasets/abbymorgan/cranial-ct,CC0 / dominio público (según la ficha de Kaggle),
